name;homeValue;awayValue;key;period;groupName;homeTotal;awayTotal
Ball possession;61.0;39.0;ballPossession;ALL;Match overview;;
Expected goals;4.06;0.4;expectedGoals;ALL;Match overview;;
Big chances;7.0;0.0;bigChanceCreated;ALL;Match overview;;
Total shots;23.0;6.0;totalShotsOnGoal;ALL;Match overview;;
Goalkeeper saves;1.0;3.0;goalkeeperSaves;ALL;Match overview;;
Corner kicks;7.0;4.0;cornerKicks;ALL;Match overview;;
Fouls;12.0;14.0;fouls;ALL;Match overview;;
Passes;460.0;304.0;passes;ALL;Match overview;;
Tackles;16.0;13.0;totalTackle;ALL;Match overview;;
Free kicks;13.0;12.0;freeKicks;ALL;Match overview;;
Yellow cards;0.0;3.0;yellowCards;ALL;Match overview;;
Total shots;23.0;6.0;totalShotsOnGoal;ALL;Shots;;
Shots on target;7.0;1.0;shotsOnGoal;ALL;Shots;;
Hit woodwork;1.0;0.0;hitWoodwork;ALL;Shots;;
Shots off target;12.0;3.0;shotsOffGoal;ALL;Shots;;
Blocked shots;4.0;2.0;blockedScoringAttempt;ALL;Shots;;
Shots inside box;14.0;5.0;totalShotsInsideBox;ALL;Shots;;
Shots outside box;9.0;1.0;totalShotsOutsideBox;ALL;Shots;;
Big chances scored;4.0;0.0;bigChanceScored;ALL;Attack;;
Big chances missed;3.0;0.0;bigChanceMissed;ALL;Attack;;
Through balls;2.0;1.0;accurateThroughBall;ALL;Attack;;
Touches in penalty area;36.0;7.0;touchesInOppBox;ALL;Attack;;
Fouled in final third;5.0;1.0;fouledFinalThird;ALL;Attack;;
Offsides;1.0;1.0;offsides;ALL;Attack;;
Accurate passes;381.0;216.0;accuratePasses;ALL;Passes;;
Throw-ins;20.0;19.0;throwIns;ALL;Passes;;
Final third entries;56.0;31.0;finalThirdEntries;ALL;Passes;;
Final third phase;100.0;27.0;finalThirdPhaseStatistic;ALL;Passes;147.0;49.0
Long balls;16.0;21.0;accurateLongBalls;ALL;Passes;36.0;60.0
Crosses;9.0;0.0;accurateCross;ALL;Passes;28.0;9.0
Duels;57.0;43.0;duelWonPercent;ALL;Duels;;
Dispossessed;5.0;7.0;dispossessed;ALL;Duels;;
Ground duels;36.0;30.0;groundDuelsPercentage;ALL;Duels;66.0;66.0
Aerial duels;20.0;12.0;aerialDuelsPercentage;ALL;Duels;32.0;32.0
Dribbles;8.0;5.0;dribblesPercentage;ALL;Duels;16.0;14.0
Tackles won;10.0;12.0;wonTacklePercent;ALL;Defending;16.0;13.0
Total tackles;16.0;13.0;totalTackle;ALL;Defending;;
Interceptions;9.0;6.0;interceptionWon;ALL;Defending;;
Recoveries;51.0;41.0;ballRecovery;ALL;Defending;;
Clearances;15.0;28.0;totalClearance;ALL;Defending;;
Errors lead to a shot;1.0;1.0;errorsLeadToShot;ALL;Defending;;
Errors lead to a goal;0.0;1.0;errorsLeadToGoal;ALL;Defending;;
